word,type,translation
aa,wiki,ah
aakkonen,all,letter
aakkosellinen,all,alphabetic
aakkosellisesti,all,alphabetically
aakkosellisuus,all,alphabitude
aakkosittain,all,alphabetically
aakkosjärjestys,all,alphabetical order
aakkosnumeerinen,all,alphanumeric
aakkostaa,all,to alphabetize
aakkostamaton,wiki,alphabetize
aakkostaminen,wiki,alphabetized
aakkosto,all,alphabet
aakkostus,all,alphabet
aalloittain,all,wax
aalloittainen,all,wax
aalloittaisuus,all,wax
aallokas,all,wavy
aallokko,all,surf
aallokkoinen,wiki,rough
aallonharja,all,cap of a wave
aallonmurtaja,all,breakwater
aallonpituus,all,wavelength
aallonpohja,all,trough
aallota,all,corrugate
aallotar,all,naiad
aallottaa,all,to corrugate
aallotus,all,corruption
aaloe,all,aloe
aaloehamppu,wiki,hemp
aalto,all,wave
aaltoallas,all,wave pool
aaltoalue,all,waveband
aaltoenergia,all,wave energy
aaltofunktio,wiki,wave function
aaltoilematon,wiki,fluctuate
aaltoileva,wiki,wavy
aaltoilla,all,undulate
aaltoilu,all,heave
aaltoimpedanssi,wiki,wave pedal
aaltoinen,wiki,wavy
aaltojuovakirppa,wiki,waveplash
aaltolevy,all,waveboard
aaltoliike,all,wave motion
aaltomainen,wiki,wavy
aaltomekaniikka,wiki,wave mechanics
aaltomuoto,wiki,waveform
aaltopahvi,all,corrugated board
aaltopelti,all,corrugated iron
aaltopituus,all,wavelength
aaltoputki,wiki,wavy pipe
aaltosulje,all,brace
aaltosulkumerkki,all,loop
aaltoviiva,all,wavy line
aaltovoimala,all,wave
aaltoyhtälö,wiki,wave equation
aamen,all,Amen
aami,wiki,brea
aamiainen,all,breakfast
aamiaisaika,wiki,breakfast time
aamiaismajoitus,all,Bed \u0026 Breakfast
aamiaistaa,wiki,breakfasts
aamiaistapaaminen,all,breakfast
aamiaistunti,all,lunch hour
aamu,all,morning
aamuaskare,all,morning
aamuateria,all,morning
aamuhartaus,all,matins
aamuhämärä,all,dawn
aamuinen,all,morning
aamuisin,all,mornings
aamujumalanpalvelus,all,morning service
aamujuna,all,morning train
aamukahdeksan,all,morning eight
aamukahvi,all,morning coffee
aamukampa,all,morning
aamukaste,all,morning
aamukylmä,all,morning
aamulehti,all,morning paper
aamulenkki,all,morning ride
aamullinen,all,morny
aamulypsy,all,morning milk
aamulähetys,all,mirth
aamulämpö,all,atruction
aamunavaus,all,morning opening
aamunkoi,wiki,aurora
aamunkoite,all,daybreak
aamunkoitto,all,daylight
aamunraikas,all,morny
aamunsarastus,all,dawn
aamuntorkku,all,dawn
aamunvirkku,all,dawn
aamupahoinvointi,all,morning sickness
aamupala,all,breakfast
aamupesu,all,morning Cleaning
aamupuoli,all,morning
aamupäivisin,all,in the morning
aamupäivä,all,morning
aamupäiväinen,wiki,ante meridiem
aamurusko,all,aurora
aamuruuhka,all,morning rush hour
aamusella,all,morning
aamutakki,all,bathrobe
aamutee,wiki,morning
aamutohveli,all,jerk
aamutorkku,all,late riser
aamutossu,all,slippers
aamutuimaan,all,morning
aamutähti,all,morning star
aamuvarhain,all,early in the morning
aamuvarhainen,all,early morning
aamuvartio,all,morning guard
aamuvirkku,all,early riser
aamuvoimistelu,all,morning exercise
aamuvuoro,all,morning shift
aamuyö,all,small hours
aapa,all,aapa bog
aapapurje,wiki,aap sail
aapasuo,all,aapa bog
aapinen,all,primer
aapiskirja,all,gap
aapiskukko,all,Aapkock
aaprotti,all,aproper
aaprottimaruna,wiki,aproper
aari,all,are
aaria,all,aria
aarni,wiki,Aarni
aarnialue,all,aarnial area
aarnihauta,all,buried treasure
aarnihonka,all,Aarnihkka
aarnikotka,all,treasury
aarnio,all,primeval
aarniohauta,all,aarnohaft
aarniometsä,all,primeval forest
aarnipuu,all,treasure
aarnituli,all,aarnium
aarnivalkea,all,treasure
aaroninparta,all,Aaron
aaroninsauva,wiki,rod
aarpora,all,Aarpora
aarre,all,treasure
aarreaitta,all,treasure house
aarrearkku,wiki,treasure chest
aarrehauta,all,treasure
aarrekammio,all,treasury
aarrekätkö,all,Do you do
aarrelöytö,all,treasure-trove
aarretuli,all,treasure
aarrevalkea,all,treasure
aarteenetsijä,all,treasurer
aarteisto,all,treasure
aasi,all,donkey
aasialainen,all,Asian
aasialaisuus,all,Asianism
aasian,wiki,Asiatic cholera
aasiankukaali,wiki,Asian rooster
aasiannorsu,wiki,Asian elder
aasimainen,all,asinine
aasimaisesti,all,assent
aasimaisuus,all,donkey
aasinpotku,all,donkey
aasinsilta,all,Asinsins
aatami,all,Adam
aataminaikainen,all,antediluvian
aataminomena,all,Adam's apple
aataminpuku,all,adamress
aate,all,idea
aatehistoria,all,aesthetics
aatekilpailu,all,aversion
aateli,all,nobility
aatelinen,all,noble
aatelisarvo,all,peerage
aatelisherra,all,Aloakherra
aateliskalenteri,all,peerage
aatelismies,wiki,nobleman
aatelisnenä,all,nobility
aatelisprivilegio,wiki,noblespile
aatelissuku,all,nobility
aatelissääty,all,nobility
aatelisto,all,nobility
aatelisuus,all,nobility
aatelisvaakuna,all,coat of arms
aateliton,all,commoner
aateloida,all,to ennoble
aatelointi,all,nobility
aateluus,all,nobility
aatemaailma,all,Atemail
aaterakennelma,all,ideology
aatesuunta,all,treasure
aatetoveri,all,fellow
aateveli,all,hill
aatevirtaus,all,anti-flow
aatonaatto,all,eve eve
aatos,all,thought
aatteellinen,all,ideological
aatteellisesti,all,ideally
aatteellisuus,all,ideology
aatto,all,eve
aattoilta,all,from the evening
aava,all,open
aavameri,all,high seas
aave,all,ghost
aavejuna,all,ghost
aavekaupunki,wiki,ghost town
aavekipu,all,ghost
aavelaiva,all,phantom ship
aavemainen,all,ghostly
aavemaisesti,all,gave
aavemaisuus,all,inferiority
aavikko,all,desert
aavikkoilves,wiki,desert
aavikkojuoksija,wiki,desert
aavikkokettu,wiki,fennec fox
aavikkorotta,wiki,desert
aavikoitua,all,desertification
aavikoituminen,wiki,desertification
aavistaa,all,to foresee
aavistamaton,all,unsuspected
aavistella,all,to suspect
aavistuksenomainen,all,a hint
aavistus,all,hunch
aavistuslähtö,all,flying start
abakus,wiki,abacus
abaloni,wiki,abalon
abandonointi,wiki,abandonization
abasia,wiki,abst
abatsi,all,abatse
abbasidi,wiki,abbaside
abbedissa,all,abbess
abbreviaatio,wiki,abbreviation
abduktio,wiki,abduction
abduktori,wiki,abductor
aberraatio,wiki,aberration
abessiivi,all,abessive
abhaasi,wiki,abhaas
abhasialainen,wiki,Abkhaz
abioottinen,wiki,abiotic
abiturientti,all,high school graduate
ablaatio,wiki,ablation
ablatiivi,all,ablative
ablatiivisija,wiki,ablative
abnormaali,wiki,abnormal
abnormi,all,abnorm
abnormius,all,Abnormius
abolitionismi,wiki,abolitionism
abolitionisti,wiki,abolitionist
aboriginaali,all,aboriginal
abortoida,all,to abort
abortointi,all,abortion
abortti,all,abortion
aborttipilleri,all,abortion
aborttitabletti,all,abortion
abraasio,wiki,abrasion
abrakadabra,all,Abrakadabra
absessi,all,absorption
absintti,all,absinthe
abskessi,wiki,abscess
abskissa,all,abscissa
absolutiivi,wiki,absolutive case
absolutismi,all,absolutism
absolutisti,all,teetotaler
absoluutti,all,absolute
absoluuttinen,all,absolute
absoluuttisesti,all,absolutely
absoluuttisuus,all,absoluteness
absorboida,all,to absorb
absorbointi,all,absorption
absorboitua,all,be absorbed
absorboituminen,wiki,absorption
absorboiva,wiki,occlude
absorptio,all,absorption
abstinenssi,all,abstality
abstinenssioire,all,symptom of abstraction
abstrahoida,all,to abstract
abstrahoiminen,wiki,abstract
abstrahointi,all,abstraction
abstrahoitua,all,To abstract
abstrakti,all,abstract
abstraktinen,all,abstract
abstraktio,all,abstraction
abstraktisesti,all,abstract
abstraktisti,all,make abstract
abstraktisuus,all,abstractness
absurdi,all,absurd
absurdismi,wiki,absurdism
absurdisti,all,absurdist
absurdius,all,absurdity
abyssaalinen,wiki,abyssal
acajoupähkinä,all,acajous
adagio,all,Adagio
adangme,wiki,Adangme
adaptaatio,all,adaptation
adapteri,all,adapter
adaptoida,all,is adapted
adaptointi,all,adaptation
adaptoitua,all,adapt to
addikti,all,addict
addiktio,all,addiction
addiktoida,wiki,addict
adekvaatisti,all,adequate
adekvaatti,all,adequette
adekvaattius,all,adequate
adeniini,wiki,adenine
adeniitti,wiki,adenitis
adenohypofyysi,wiki,adenoho hypophysis
adenokarsinooma,all,adenocarcinoma
adessiivi,all,adessive
adheesio,all,adhesion
adiabaattinen,wiki,adiabatic
adiantumi,wiki,adiantum
adjektiivi,all,adjective
adjektiivinen,all,adjectival
adjektiivisesti,all,adjectively
adjektiivisuus,all,adjectivity
adjutantti,all,adjutant
adjuvantti,wiki,adjuvant
adjuvanttihoito,all,adjuvant therapy
adoninen,wiki,Adoninen
adonis,all,Adonis
